column,row
164,468
165,469
166,469
167,469
168,468
169,468
170,468
171,468
172,467
173,467
174,466
175,465
176,464
177,464
178,464
179,463
180,463
181,462
182,461
183,460
184,459
184,458
185,457
185,456
185,455
185,454
186,453
186,452
186,451
186,450
186,449
186,448
186,447
186,446
186,445
186,444
186,443
186,442
186,441
186,440
186,439
186,438
187,437
187,436
187,435
187,434
187,433
187,432
187,431
187,430
187,429
187,428
187,427
187,426
187,425
187,424
187,423
187,422
187,421
187,420
187,419
187,418
187,417
187,416
187,415
187,414
187,413
187,412
187,411
187,410
187,409
187,408
187,407
187,406
187,405
187,404
187,403
187,402
187,401
187,400
187,399
187,398
187,397
187,396
187,395
187,394
187,393
187,392
187,391
187,390
187,389
187,388
187,387
187,386
187,385
187,384
187,383
187,382
187,381
187,380
187,379
187,378
187,377
187,376
187,375
187,374
187,373
187,372
187,371
187,370
187,369
187,368
187,367
187,366
187,365
187,364
187,363
187,362
187,361
187,360
187,359
187,358
187,357
187,356
187,355
187,354
187,353
187,352
187,351
187,350
187,349
187,348
187,347
187,346
187,345
188,344
189,343
190,342
191,341
192,340
193,339
194,338
195,337
196,336
197,335
198,334
199,333
200,332
201,331
202,330
203,329
204,328
205,327
206,326
207,325
208,324
209,323
209,322
210,321
210,320
210,319
210,318
211,317
211,316
211,315
211,314
211,313
211,312
211,311
211,310
211,309
211,308
210,307
210,306
210,305
210,304
209,303
209,302
208,301
207,300
206,299
205,298
204,297
203,296
202,295
201,294
200,293
200,292
200,291
200,290
200,289
200,288
200,287
200,286
200,285
200,284
200,283
200,282
200,281
200,280
200,279
200,278
200,277
200,276
200,275
200,274
200,273
200,272
200,271
200,270
200,269
200,268
200,267
200,266
200,265
200,264
200,263
200,262
200,261
200,260
200,259
200,258
200,257
200,256
200,255
200,254
200,253
200,252
200,251
200,250
200,249
200,248
200,247
200,246
200,245
200,244
200,243
200,242
200,241
200,240
